dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.759149,16.599926,9.329331,2.827483,-3.825164,5.159566,0.398317
0.020000,7.810067,16.620875,9.384390,2.752978,-3.725228,4.996784,0.382259
0.020000,7.859963,16.640477,9.437998,2.680395,-3.629192,4.801777,0.366326
0.020000,7.908839,16.658787,9.490191,2.609642,-3.537632,4.577992,0.350550
0.020000,7.956695,16.675865,9.541003,2.540621,-3.451043,4.329480,0.334960
0.020000,8.003534,16.691767,9.590468,2.473224,-3.369831,4.060573,0.319586
0.020000,8.049356,16.706548,9.638615,2.407338,-3.294313,3.775935,0.304452
0.020000,8.094161,16.720262,9.685471,2.342844,-3.224709,3.480186,0.289584
0.020000,8.137948,16.732963,9.731064,2.279621,-3.161151,3.177916,0.275004
0.020000,8.180718,16.744701,9.775415,2.217547,-3.103680,2.873551,0.260731
0.020000,8.222466,16.755529,9.818545,2.156502,-3.052258,2.571091,0.246784
0.020000,8.263192,16.765495,9.860472,2.096367,-3.006773,2.274241,0.233177
0.020000,8.302892,16.774646,9.901213,2.037026,-2.967048,1.986271,0.219926
0.020000,8.341561,16.783029,9.940780,1.978369,-2.932852,1.709794,0.207042
0.020000,8.379195,16.790689,9.979186,1.920291,-2.903907,1.447230,0.194535
0.020000,8.415789,16.797668,10.016440,1.862693,-2.879904,1.200172,0.182414
0.020000,8.451338,16.804010,10.052549,1.805483,-2.860503,0.970020,0.170684
0.020000,8.485834,16.809755,10.087521,1.748576,-2.845352,0.757583,0.159352
0.020000,8.519272,16.814942,10.121359,1.691894,-2.834084,0.563363,0.148421
0.020000,8.551645,16.819608,10.154066,1.635367,-2.826335,0.387454,0.137895
0.020000,8.582945,16.823790,10.185645,1.578932,-2.821741,0.229701,0.127773
0.020000,8.613166,16.827524,10.216095,1.522533,-2.819947,0.089696,0.118059
0.020000,8.642300,16.830842,10.245418,1.466121,-2.820610,-0.033137,0.108750
0.020000,8.670340,16.833777,10.273611,1.409653,-2.823403,-0.139646,0.099846
0.020000,8.697278,16.836360,10.300673,1.353093,-2.828015,-0.230623,0.091346
0.020000,8.723108,16.838620,10.326601,1.296410,-2.834157,-0.307064,0.083247
0.020000,8.747821,16.840586,10.351393,1.239579,-2.841555,-0.369894,0.075547
0.020000,8.771412,16.842285,10.375044,1.182579,-2.849961,-0.420301,0.068242
0.020000,8.793873,16.843742,10.397552,1.125397,-2.859141,-0.459030,0.061330
0.020000,8.815197,16.844982,10.418912,1.068019,-2.868888,-0.487349,0.054808
0.020000,8.835379,16.846027,10.439121,1.010439,-2.879009,-0.506045,0.048671
0.020000,8.854412,16.846899,10.458174,0.952652,-2.889332,-0.516127,0.042916
0.020000,8.872291,16.847619,10.476067,0.894658,-2.899699,-0.518348,0.037540
0.020000,8.889009,16.848205,10.492797,0.836459,-2.909973,-0.513734,0.032539
0.020000,8.904563,16.848675,10.508358,0.778058,-2.920029,-0.502793,0.027909
0.020000,8.918948,16.849046,10.522747,0.719463,-2.929758,-0.486461,0.023648
0.020000,8.932158,16.849332,10.535961,0.660682,-2.939063,-0.465215,0.019751
0.020000,8.944191,16.849549,10.547995,0.601724,-2.947857,-0.439727,0.016216
0.020000,8.955042,16.849708,10.558847,0.542603,-2.956068,-0.410547,0.013039
0.020000,8.964708,16.849820,10.568514,0.483330,-2.963630,-0.378111,0.010220
0.020000,8.973186,16.849896,10.576992,0.423921,-2.970488,-0.342899,0.007754
0.020000,8.980474,16.849945,10.584280,0.364389,-2.976597,-0.305432,0.005639
0.020000,8.986568,16.849974,10.590375,0.304750,-2.981913,-0.265789,0.003875
0.020000,8.991469,16.849990,10.595275,0.245022,-2.986406,-0.224688,0.002459
0.020000,8.995173,16.849997,10.598980,0.185221,-2.990048,-0.182072,0.001391
0.020000,8.997681,16.849999,10.601487,0.125365,-2.992819,-0.138550,0.000668
0.020000,8.999126,16.850000,10.602932,0.072266,-2.654949,16.893485,0.000252
0.020000,8.999795,16.850000,10.603601,0.033433,-1.941640,35.665478,0.000059
0.020000,8.999986,16.850000,10.603793,0.009574,-1.192945,37.434722,0.000004
0.020000,9.000000,16.850000,10.603807,0.000695,-0.443981,37.448195,6.283185
0.020000,9.000000,16.850000,10.603807,0.000000,-0.034735,20.462300,6.283185
